"module","page","route_path","table_name","table_role","department","role","access_scope","crud_or_read","existing_policy_status","notes"
"Sales","Sales Reports","/app/sales/reports","lead_source_types","lookup-dimension","SAL","manager","all","READ","none-found","sourceData dimension - already covered by the Leads Overview row above."
"Sales","Sales Reports","/app/sales/reports","clients","lookup-dimension","SAL","manager","all","READ","none-found","topClientsData dimension (Prospect half, account_name/account_key CTE) - already covered by the Clients page row above."
"Sales","Sales Reports","/app/sales/reports","sap_customers","lookup-dimension","SAL","manager","all","READ","none-found","Added 2026-08 - topClientsData dimension (SAP-customer half, account_name/account_key CTE) - already covered by the Leads List/Overview sap_customers rows above."
"Sales","Sales Reports","/app/sales/reports","sap_pipeline_state","metadata-freshness","SAL","manager","all","READ","none-found","Freshness banner (salesReportsMetadataService.js). Already covered by the Sales Orders page row above."
"Sales","Sales Reports","/app/sales/reports","employees_public","lookup-dimension","SAL","manager","all","READ","none-found","Owners filter dropdown (salesReportsMetadataService.js) - already covered by the Leads List row above."
"Sales","Sales Reports","/app/sales/reports","clients","dimension","MGM","manager","all","READ","none-found","Incremental Top Management slice - MGM has no other way to reach this table (excluded from the Clients page per R3)."
"Sales","Sales Reports","/app/sales/reports","sap_customers","dimension","MGM","manager","all","READ","none-found","Incremental Top Management slice - added 2026-08, same condition as the SAL row above."
"Sales","Sales Reports","/app/sales/reports","sales_leads","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - MGM has no other way to reach this table (excluded from Leads pages per R3)."
"Sales","Sales Reports","/app/sales/reports","sales_leads_stage_history","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice."
"Sales","Sales Reports","/app/sales/reports","sales_targets","core-data","MGM","manager","all","READ","create-not-confirmed-applied","Incremental Top Management slice."
"Sales","Sales Reports","/app/sales/reports","sales_budgets","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - MGM has no other way to reach this table (excluded from Sales Budgets per R3)."
"Sales","Sales Reports","/app/sales/reports","sap_sales_orders","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - MGM has no other way to reach this table (excluded from Sales Orders per R3)."
"Sales","Sales Reports","/app/sales/reports","sap_invoices","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - see also the Finance rows for this table, same MGM condition, only needs to exist once."
"Sales","Sales Reports","/app/sales/reports","sap_payments","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - same MGM condition as the Finance rows for this table, only needs to exist once."
"Sales","Sales Reports","/app/sales/reports","sap_payment_applications","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - same MGM condition as the Finance rows for this table, only needs to exist once."
"Sales","Sales Reports","/app/sales/reports","sap_sales_persons","display-join","MGM","manager","all","READ","none-found","Incremental Top Management slice. ⚠ inner-join row-drop risk, same as the SAL row above."
"Sales","Sales Reports","/app/sales/reports","employee_sales_rep_mapping","display-join","MGM","manager","all","READ","none-found","Incremental Top Management slice."
"Sales","Sales Reports","/app/sales/reports","employees","display-join","MGM","manager","all","READ","none-found","Incremental Top Management slice."
"Sales","Sales Reports","/app/sales/reports","profiles","display-join","MGM","manager","all","READ","none-found","Incremental Top Management slice."
"Sales","Sales Reports","/app/sales/reports","lead_source_types","lookup-dimension","MGM","manager","all","READ","none-found","Incremental Top Management slice."
"Sales","Sales Reports","/app/sales/reports","sap_pipeline_state","metadata-freshness","MGM","manager","all","READ","none-found","Incremental Top Management slice - same MGM condition as the Finance row for this table, only needs to exist once."
"Sales","Sales Reports","/app/sales/reports","employees_public","lookup-dimension","MGM","manager","all","READ","none-found","Incremental Top Management slice."
"Sales","Quotations","/app/sales/quotations","(none)","n/a","","","","","n/a","Quotations.jsx is a literal empty stub - zero imports, zero data fetching. No table access exists yet; nothing to grant."
"Finance","Invoices","/app/finance/invoices","sap_invoices","core-data","FIN","","all","READ","none-found","SAP is the system of record - service file's own comment confirms no create/update/delete from the app anywhere."
"Finance","Invoices","/app/finance/invoices","sap_customers","lookup-dimension","FIN","","all","READ","none-found","Customer filter dropdown (financeMetadataService.js)."
"Finance","Invoices","/app/finance/invoices","sap_sales_persons","lookup-dimension","FIN","","all","READ","none-found","Sales rep filter dropdown (financeMetadataService.js searchSalesReps)."
"Finance","Invoice Lines (detail)","","sap_invoice_lines","line-item-detail","FIN","","all","READ","none-found","InvoiceSidebar.jsx via useInvoiceLines, filtered by doc_entry."
"Finance","Invoice Lines (detail)","","sap_items","display-join","FIN","","all","READ","none-found","Embedded only, for the invoice-line item name (select *, sap_items(item_name))."
"Finance","Payments","/app/finance/payments","sap_payments","core-data","FIN","","all","READ","none-found","Read-only, no app writes."
"Finance","Payments","/app/finance/payments","sap_customers","lookup-dimension","FIN","","all","READ","none-found","Customer filter dropdown - already covered by the Invoices page row above."
"Finance","Payment Applications (detail)","","sap_payment_applications","line-item-detail","FIN","","all","READ","none-found","PaymentSidebar.jsx via usePaymentApplications, filtered by payment_ref."
"Finance","Bills","/app/finance/bills","sap_vendor_bills","core-data","FIN","","all","READ","none-found","AP mirror of Invoices - read-only, no app writes."
"Finance","Bills","/app/finance/bills","sap_customers","lookup-dimension","FIN","","all","READ","none-found","Vendor filter dropdown, same physical table as the Customer filter (distinguished by card_type='S') - already covered by the Invoices page row above."
"Finance","Bill Lines (detail)","","sap_vendor_bill_lines","line-item-detail","FIN","","all","READ","none-found","BillSidebar.jsx via useBillLines, filtered by doc_entry."
"Finance","Bill Lines (detail)","","sap_items","display-join","FIN","","all","READ","none-found","Embedded only, for the bill-line item name - already covered by the Invoice Lines row above."
"Finance","Vendor Payments","/app/finance/vendor-payments","sap_vendor_payments","core-data","FIN","","all","READ","none-found","AP mirror of Payments - read-only, no app writes."
"Finance","Vendor Payments","/app/finance/vendor-payments","sap_customers","lookup-dimension","FIN","","all","READ","none-found","Vendor filter dropdown - already covered by the Invoices page row above."
"Finance","Vendor Payment Applications (detail)","","sap_vendor_payment_applications","line-item-detail","FIN","","all","READ","none-found","VendorPaymentSidebar.jsx via useVendorPaymentApplications, filtered by payment_ref."
"Finance","Journal Entries","/app/finance/journal-entries","sap_gl_journal_entries","core-data","FIN","","all","READ","none-found","General Ledger header list - read-only, no app writes."
"Finance","Journal Entry Lines (detail)","","sap_gl_journal_lines","line-item-detail","FIN","","all","READ","none-found","JournalEntrySidebar.jsx via useJournalEntryLines, filtered by trans_id."
"Finance","Journal Entry Lines (detail)","","sap_gl_accounts","display-join","FIN","","all","READ","none-found","Embedded only, for the journal-line account_name - already covered by the Chart of Accounts page row below."
"Finance","Chart of Accounts","/app/finance/chart-of-accounts","sap_gl_accounts","core-data","FIN","","all","READ","none-found","General Ledger reference data - read-only, no app writes."
"Finance","Claims Management","/app/finance/claims-management","(none)","n/a","","","","","n/a","ClaimsManagement.jsx is a literal empty stub (return <div>ClaimsManagement</div>). No table access exists yet; nothing to grant."
"Finance","Financial Reports","/app/finance/reports","sap_invoices","core-data","FIN","manager","all","READ","none-found","Already covered for all FIN roles by the Invoices page row above (blank role is a superset of manager) - listed here to document Financial Reports is also a consumer."
"Finance","Financial Reports","/app/finance/reports","sap_payments","core-data","FIN","manager","all","READ","none-found","Already covered by the Payments page row above."
"Finance","Financial Reports","/app/finance/reports","sap_payment_applications","core-data","FIN","manager","all","READ","none-found","Already covered by the Payment Applications detail row above."
"Finance","Financial Reports","/app/finance/reports","sap_vendor_bills","core-data","FIN","manager","all","READ","none-found","Already covered by the Bills page row above."
"Finance","Financial Reports","/app/finance/reports","sap_vendor_payments","core-data","FIN","manager","all","READ","none-found","Already covered by the Vendor Payments page row above."
"Finance","Financial Reports","/app/finance/reports","sap_vendor_payment_applications","core-data","FIN","manager","all","READ","none-found","Already covered by the Vendor Payment Applications detail row above."
"Finance","Financial Reports","/app/finance/reports","sap_gl_accounts","core-data","FIN","manager","all","READ","none-found","Chart-of-accounts ancestry walk + balance-sheet current_balance_myr - already covered by the Chart of Accounts page row above."
"Finance","Financial Reports","/app/finance/reports","sap_sales_persons","display-join","FIN","manager","all","READ","none-found","⚠ INNER JOIN in salesRepRevenueData - an RLS denial silently drops the rep's row from that chart, not just the name. Already covered by the Invoices page row above."
"Finance","Financial Reports","/app/finance/reports","sap_pipeline_state","metadata-freshness","FIN","manager","all","READ","none-found","Freshness banner (financeMetadataService.js) - this page requires manager role specifically, unlike Sales' pipeline_state consumers which only require the department. Low-sensitivity metadata - a blanket 'any authenticated user' policy is also a reasonable simplification."
"Finance","Financial Reports","/app/finance/reports","sap_customers","lookup-dimension","FIN","manager","all","READ","none-found","Already covered by the Invoices page row above."
"Finance","Financial Reports","/app/finance/reports","private.mv_gl_monthly_account_summary","core-data","FIN","manager","all","READ","n/a-cannot-have-rls","base_gl_lines CTE - materialized views cannot have RLS in Postgres. Protection is instead the authorization guard just added to the top of get_finance_dashboard_rpc.sql, which checks role=manager AND department in (FIN,MGM), superadmin bypass. This row documents the effective protection so it isn't silently missing from this matrix, not an actual table policy."
"Finance","Financial Reports","/app/finance/reports","sap_invoices","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - MGM has no other way to reach this table (excluded from Invoices per R3). Same condition as the Sales Reports MGM row for this table - only needs to exist once."
"Finance","Financial Reports","/app/finance/reports","sap_payments","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - same condition as the Sales Reports MGM row for this table, only needs to exist once."
"Finance","Financial Reports","/app/finance/reports","sap_payment_applications","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - same condition as the Sales Reports MGM row for this table, only needs to exist once."
"Finance","Financial Reports","/app/finance/reports","sap_vendor_bills","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - MGM has no other way to reach this table (excluded from Bills per R3)."
"Finance","Financial Reports","/app/finance/reports","sap_vendor_payments","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - MGM has no other way to reach this table (excluded from Vendor Payments per R3)."
"Finance","Financial Reports","/app/finance/reports","sap_vendor_payment_applications","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice."
"Finance","Financial Reports","/app/finance/reports","sap_gl_accounts","core-data","MGM","manager","all","READ","none-found","Incremental Top Management slice - MGM has no other way to reach this table (excluded from Chart of Accounts per R3)."
"Finance","Financial Reports","/app/finance/reports","sap_sales_persons","display-join","MGM","manager","all","READ","none-found","Incremental Top Management slice - same condition as the Sales Reports MGM row for this table, only needs to exist once. ⚠ inner-join row-drop risk."
"Finance","Financial Reports","/app/finance/reports","sap_pipeline_state","metadata-freshness","MGM","manager","all","READ","none-found","Incremental Top Management slice - same condition as the Sales Reports MGM row for this table, only needs to exist once."
"Finance","Financial Reports","/app/finance/reports","private.mv_gl_monthly_account_summary","core-data","MGM","manager","all","READ","n/a-cannot-have-rls","Same authorization-guard protection as the FIN row above - the guard already allows MGM+manager."
"Superadmin (all tables)","(bypass - every page above)","","sales_leads","n/a","","superadmin","all","CRUD","none-found","Matches the existing Superadmin CRUD pattern already live on attendance_activities. Superadmin bypasses department/role entirely per canAccess()."
"Superadmin (all tables)","(bypass - every page above)","","sales_leads_stage_history","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sales_leads_lose_reasons","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","lead_source_types","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","clients","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","industries","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sales_targets","n/a","","superadmin","all","CRUD","create-not-confirmed-applied","sales_targets_budgets_crud.sql already drafts this exact policy."
"Superadmin (all tables)","(bypass - every page above)","","sales_budgets","n/a","","superadmin","all","CRUD","create-not-confirmed-applied","sales_targets_budgets_crud.sql already drafts this exact policy."
"Superadmin (all tables)","(bypass - every page above)","","employees","n/a","","superadmin","all","CRUD","none-found","Cross-cutting HR-owned table - verify against HR's own superadmin policy if one already exists there."
"Superadmin (all tables)","(bypass - every page above)","","employees_public","n/a","","superadmin","all","CRUD","none-found","Same caveat as employees."
"Superadmin (all tables)","(bypass - every page above)","","profiles","n/a","","superadmin","all","CRUD","none-found","Cross-cutting system table - verify against any existing global policy before adding a duplicate."
"Superadmin (all tables)","(bypass - every page above)","","employee_sales_rep_mapping","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_sales_orders","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_sales_order_lines","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_sales_persons","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_pipeline_state","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_customers","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_items","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_invoices","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_invoice_lines","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_payments","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_payment_applications","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_vendor_bills","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_vendor_bill_lines","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_vendor_payments","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_vendor_payment_applications","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_gl_accounts","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_gl_journal_entries","n/a","","superadmin","all","CRUD","none-found","Same pattern."
"Superadmin (all tables)","(bypass - every page above)","","sap_gl_journal_lines","n/a","","superadmin","all","CRUD","none-found","Same pattern."
