department,module,page,path,icon,page_type,has_overview,has_kpi_strip,has_status_tabs,nav_visible,access_gate,notes
Finance,Journal Entries,Journal Entries,/app/finance/journal-entries,BookOpenIcon,List,N,N,N,Y,"departments:[FIN,MGM]","Read-only GL list, reference/audit-trail data"
Finance,Chart of Accounts,Chart of Accounts,/app/finance/chart-of-accounts,TreeStructureIcon,List,N,N,N,Y,"departments:[FIN,MGM]","Flat reference data (sap_gl_accounts), no drill-down"
Operations,Reports,Reports,/app/operations/reports,ChartBarIcon,Reports,n/a,Y,N,Y,"departments:[OPS,MGM] roles:[manager]","Entire Operations department is this one page today - no submodules yet"
HR,Reports,Reports,/app/hr/reports,ChartBarIcon,Reports,n/a,Y,N,Y,"departments:[HR,MGM] roles:[manager]","Tier-3 cross-submodule (Employees+Attendance+Leave+Lifecycle)"
HR,Employee Management,Overview,/app/hr/employees/overview,ChartLineIcon,Overview,Y,Y,N,Y,"departments:[HR]","Has 2 known display bugs per DASHBOARD-CURRENT-STATE.md (Inactive Employees / Average Team Size mis-bound cards)"
HR,Employee Management,Employees List,/app/hr/employees/list,ListIcon,List,Y,N,Y,Y,"departments:[HR]","Candidate: mirror Data Gaps/HR Actions Needed tiles from Overview onto this list (see DASHBOARD-CONVENTIONS.md 2a)"
HR,Attendance Management,Overview,/app/hr/attendance/overview,ChartLineIcon,Overview,Y,Y,N,Y,"departments:[HR]",""
HR,Attendance Management,Attendance List,/app/hr/attendance/list,ListIcon,List,Y,N,Y,Y,"departments:[HR]","Candidate: mirror Pending Approvals/Attendance Anomalies tiles from Overview onto this list"
HR,Attendance Management,Holidays,/app/hr/attendance/settings,CalendarIcon,Settings,Y,N,N,Y,"departments:[HR]","Public holiday calendar CRUD; SearchFilterBar (search/category/work-location) added 2026-09; labelled ""Settings"" internally (route path unchanged)"
HR,Attendance Management,Payroll Export,/app/hr/attendance/payroll-export,CurrencyCircleDollarIcon,Other,Y,N,N,Y,"departments:[HR]","Read-only payroll period summary + CSV export; Work Location filter added 2026-09"
HR,Leave Management,Leave Management,/app/hr/leaves,CalendarIcon,List,N,N,N,Y,"departments:[HR]","Plausibly qualifies for a KPI strip under 2a's urgency test, but underlying data has historically had zero rows - blocked on data, not a design gap"
HR,Organization Chart,Organization Chart,/app/hr/organization-chart,TreeStructureIcon,Other,n/a,N,N,Y,"departments:[HR]","Interactive ReactFlow org-chart, not a table"
HR,Onboarding,Onboarding,/app/hr/onboarding,AddressBookIcon,List,N,Y,Y,Y,"departments:[HR]","Shared LifecycleCaseList component; KPI cards live directly on this one list page (no separate Overview)"
HR,Offboarding,Offboarding,/app/hr/offboarding,DoorOpenIcon,List,N,Y,Y,Y,"departments:[HR]","Shared LifecycleCaseList component (caseType=OFFBOARDING)"
IT,Dashboard,Dashboard,/app/it/dashboard,SquaresFourIcon,Other,n/a,N,N,Y,"departments:[IT]","QuickActions shortcut launcher to external IT tools - no data, no KPIs"
IT,IT Assets,Overview,/app/it/assets/overview,ChartLineIcon,Overview,Y,Y,N,Y,"departments:[IT]","Zero RPC investment - pure client-side aggregation over a small table (useITAssetsOverview)"
IT,IT Assets,Asset List,/app/it/assets/list,ListIcon,List,Y,N,N,Y,"departments:[IT]","Candidate: mirror Risk Assets/Unassigned/Awaiting Setup tiles from Overview onto this list; also the only Overview-owning List missing status tabs"
IT,Software,Software,/app/it/software,AppWindowIcon,Other,n/a,N,N,Y,"departments:[IT]","Unbuilt stub (bare placeholder div) despite a live, active nav entry"
IT,Onboarding,Onboarding,/app/it/onboarding,AddressBookIcon,List,N,Y,Y,Y,"departments:[IT]","Shared LifecycleCaseList component"
IT,Offboarding,Offboarding,/app/it/offboarding,DoorOpenIcon,List,N,Y,Y,Y,"departments:[IT]","Shared LifecycleCaseList component (caseType=OFFBOARDING)"
System,Users,Users,/app/system/users,UsersIcon,List,n/a,Y,N,Y,"roles:[superadmin]","Deliberate single combined page (KPI strip + list/search/sidebar, no separate Overview/List tabs)"
System,Pipeline Status,Pipeline Status,/app/system/pipeline-status,ChartLineUpIcon,List,n/a,Y,N,Y,"roles:[superadmin]","Deliberate single combined page; KPI tiles built inline via usePipelineStats, no overviewConfig.js file (only OverviewCards consumer without one)"
General,Announcements,Announcements,/app/announcements,MegaphoneIcon,List,n/a,N,N,N,none,"Nav entry commented out; not linked from any component; typed-URL only"
Sales,Quotations,Quotations,/app/sales/quotations,FileTextIcon,Other,n/a,N,N,N,"departments:[SAL]","Deliberate placeholder stub (bare div) reserved for a future in-app quotation feature; nav entry commented out"
Finance,Claims Management,Claims Management,/app/finance/claims-management,ClipboardTextIcon,Other,n/a,N,N,N,"departments:[FIN,MGM]","Deliberate placeholder stub; nav entry commented out in sideNavLinkData.js and departmentLinkCardData.js"
HR,Department Management,Department Management,/app/hr/departments,UsersThreeIcon,Other,n/a,N,N,N,"departments:[HR] roles:[manager]","Unbuilt stub; nav entry commented out"
HR,Recruitment,Recruitment,/app/hr/recruitment,BriefcaseIcon,Other,n/a,N,N,N,"departments:[HR] roles:[manager]","Unbuilt stub; nav entry commented out"
HR,Performance,Performance Management,/app/hr/performance,GaugeIcon,Other,n/a,N,N,N,"departments:[HR] roles:[manager]","Unbuilt stub; nav entry commented out"
Employee,Leave Request,Leave Request,/app/employee/leave-request,CalendarIcon,Other,n/a,N,N,N,none,"Unbuilt stub; nav entry commented out"
Employee,Claims,Claims,/app/employee/claims,WalletIcon,Other,n/a,N,N,N,none,"Unbuilt stub; nav entry commented out"
Employee,My Documents,My Documents,/app/employee/documents,(none assigned),Other,n/a,N,N,N,none,"True orphan - unbuilt stub with ZERO nav reference, not even commented out (unlike every other stub above)"
Employee,Policies,Policies,/app/employee/policies,(none assigned),Other,n/a,N,N,N,none,"True orphan - same as My Documents, zero nav reference anywhere"
HR,Policy Management,Policy Management,(no route exists),FilesIcon,Other,n/a,N,N,N,"departments:[HR]","Dead nav-data comment - no matching route anywhere in HRRoutes.jsx"
HR,Forms & Templates,Forms & Templates,(no route exists),FilesIcon,Other,n/a,N,N,N,"departments:[HR]","Dead nav-data comment - no matching route anywhere in HRRoutes.jsx"
System,Audit Logs,Audit Logs,(no route exists),FileTextIcon,Other,n/a,N,N,N,"roles:[superadmin]","Dead nav-data comment - no matching route; path prefix ""admin/"" doesn't even match the real ""system/"" mount"
System,System Settings,System Settings,(no route exists),GearIcon,Other,n/a,N,N,N,"roles:[superadmin]","Dead nav-data comment - no matching route; same stale ""admin/"" prefix issue"
